entity,n-revs
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/WidgetTextAreaInput.tsx,2
walter-server/walter_tornado/byte_stream.py,2
walter-client/packages/ai-director/src/pages/AgentProgressionFake/FakeData/make_data_look_good.js,2
walter-client/packages/ai-director/src/pages/ConversationView/Panel/CallFlowBehavior.tsx,2
walter-client/packages/ai-director/src/pages/AgentProgression/ChatsListDrawer/Styled.tsx,2
walter-client/packages/ai-director/src/pages/AgentProgressionFake/FakeData/fake_agent_progression_behaviors.ts,2
windows/electron_app/status_page/status.html,2
db/migrations/metadata/actions.graphql,2
walter-client/packages/ai-director/src/pages/ActionsPage/Container.tsx,2
windows/AudiograbTest/AudiograbTest.cpp,2
walter-client/migrations/migrations/1609361806231_alter_table_app_used_widgets_alter_column_widget_template_id/up.sql,2
bin/good-intent/predict.py,2
walter-client/src/components/Chat/Callflow/AutomaticStageSwitcherListener.tsx,2
walter-client/package-lock.json,2
walter-client/packages/ai-director/src/pages/InsightsPage/OverviewPage.tsx,2
walter-client/packages/ai-director/src/components/ChatCount/View.tsx,2
walter-client/packages/ai-director/src/pages/AgentProgressionFake/IndividualAgent/BehaviorHeatMap/Container.tsx,2
walter-client/.eslintrc.json,2
windows/electron_app/configuration/holidayinn.json,2
walter-client/packages/ai-director/src/pages/InsightsPage/index.tsx,2
walter-client/packages/ai-director/src/pages/IntentsQAPage/AudioRecorder.tsx,2
walter-client/packages/ai-director/src/pages/InsightsPage/InsightsPage.tsx,2
experimental/kb/tsconfig.json,2
walter-client/packages/ai-director/src/pages/AgentProgressionFake/FakeData/fake_agent_progression_behaviors.json,2
walter-client/packages/ai-director/src/pages/AgentProgression/ChatsListDrawer/ChatWithAudio.tsx,2
walter-client/src/util/get-customer-account-name.ts,2
walter-client/src/pages/CallflowEditorPage/ServerSideUpdater.tsx,2
walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/NewMomentSelector.tsx,2
walter-client/packages/ai-director/src/pages/IntentsQAPage/NewExampleCreator.tsx,2
bin/good-intent/hyperparams/credit_pros.json,2
db/sync/intent.js,2
walter-client/packages/ai-director/src/components/MessageTranscript/chat-messages.gql.ts,2
walter-client/migrations/migrations/1611721790468_insert_speaker_role_types/up.sql,2
walter-client/packages/ai-director/src/pages/UsersPage/BatchCreator.tsx,2
walter-client/packages/ai-director/src/pages/IntentsQAPage/ColorGrid.tsx,2
walter-client/src/components/Chat/Widgets/FinishedWidget.tsx,2
walter-client/packages/ai-director/src/components/LiveAudioTranscript/chat-messages-query.gql.ts,2
walter-client/packages/uicommon/src/components/AgentAndTeamSelect/AgentAndTeamFilterProvider.tsx,2
bin/good-intent/apply_hyperparams.py,2
walter-client/src/components/UserSettings/user-settings-query.gql.ts,2
walter-server/bin/download-homepoint-calls.py,2
windows/audiograb/audiograb_channel.h,2
walter-client/packages/ai-director/src/components/HighlightedMessageNavigator/HighlightNavigatorView.tsx,2
windows/electron_app/src/window-api/engine.ts,2
walter-client/packages/ai-director/src/pages/ConversationDetails/ChatList/live-chats.gql.tsx,2
walter-client/src/types.tsx,2
walter-client/packages/ai-director/src/components/LiveAudioTranscript/LiveAudioTranscript.tsx,2
walter-server/walter_tornado/logger.py,2
walter-server/bin/download-tcp-calls.py,2
walter-server/walter_tornado/stream_util.py,2
walter-client/migrations/migrations/1610668162793_alter_table_app_widget_templates_alter_column_name/up.sql,2
walter-client/packages/ai-director/src/utils/table-sorter-functions.ts,2
integrations/event-broker/event_broker/connectors/__init__.py,2
walter-client/packages/ai-director/src/pages/ConversationView/Panel/CheckBox.tsx,2
walter-client/packages/ai-director/src/pages/AgentProgressionFake/ProgressionComponentPicker/ProgressionComponentPicker.tsx,2
windows/recorder_app/public/index.css,2
walter-client/packages/ai-director/src/pages/ActionsPage/TriggerInputForm/index.tsx,2
windows/electron_app/configuration/prod/holidayinn.json,2
